idx,pact,active,novelty,vina,aff_pred_value,aff_prob_binary
202,6.5686,1,analog,-6.707,1.8796017169952393,0.2631953954696655
203,6.6925,1,analog,-6.908,1.1743314266204834,0.35111579298973083
204,6.6478,1,analog,-6.521,1.6695642471313477,0.19211286306381226
205,6.5376,1,analog,-6.733,2.2123329639434814,0.1599060297012329
206,6.7447,1,analog,-6.884,2.467428207397461,0.25617364048957825
207,6.284,0,novel,-7.527,1.211389183998108,0.19946540892124176
208,6.3251,0,analog,-9.616,1.1712844371795654,0.937370777130127
209,6.71,1,analog,-7.174,2.0474960803985596,0.20455485582351685
210,5.9788,0,analog,-10.08,-0.7214224338531494,0.8794434070587158
211,6.9747,1,analog,-6.483,1.77382230758667,0.3048097491264343
212,6.4737,0,novel,-6.808,2.454624652862549,0.11613373458385468
213,5.1612,0,analog,-9.554,1.799362301826477,0.9430830478668213
214,6.9208,1,analog,-7.232,2.1057920455932617,0.45283395051956177
215,6.6478,1,analog,-6.677,2.066422939300537,0.19409584999084473
216,6.5751,1,analog,-6.348,1.900286316871643,0.2266310155391693
217,6.5229,1,novel,-5.001,2.596977710723877,0.39736485481262207
218,4.4962,0,novel,-8.984,-1.486703872680664,0.8197174072265625
219,9.0458,1,analog,-8.247,-0.8957188725471497,0.8458425402641296
220,8.7447,1,analog,-9.134,-0.9739234447479248,0.9528074264526367
221,10.8239,1,analog,-9.908,-1.7189738750457764,0.9933161735534668
222,4.5376,0,novel,-9.552,-1.1799845695495605,0.703180193901062
223,9.3979,1,analog,-10.07,1.1527047157287598,0.5782880783081055
224,6.5376,1,analog,-9.968,-1.176485538482666,0.8945974111557007
225,9.1249,1,analog,-9.1,-0.45455169677734375,0.9527904987335205
226,9.301,1,analog,-8.757,-0.674364447593689,0.8155934810638428
227,8.8539,1,analog,-9.994,-0.9516899585723877,0.9661595821380615
228,10.699,1,analog,-8.94,-1.3881635665893555,0.9811873435974121
229,9.7696,1,analog,-9.529,-0.8242045044898987,0.960136890411377
230,9.699,1,analog,-9.358,-0.13065195083618164,0.9353004693984985
231,9.9208,1,analog,-8.981,-0.8392984867095947,0.9561271667480469
232,9.3979,1,analog,-8.395,-1.1237248182296753,0.7819735407829285
233,7.0269,1,analog,-9.882,0.12358832359313965,0.8175486326217651
234,8.0,1,analog,-9.251,0.25894904136657715,0.9036810994148254
235,4.4437,0,novel,-9.75,-1.0481829643249512,0.7297982573509216
236,8.3372,1,analog,-8.686,-0.7182409763336182,0.9859192371368408
237,7.0,1,analog,-9.193,-0.8297327756881714,0.9753828048706055
238,9.1487,1,analog,-9.469,-0.8468703627586365,0.9720900058746338
239,6.7799,1,analog,-10.65,0.6223776340484619,0.9656911492347717
240,6.4271,0,analog,-8.314,0.405752032995224,0.3508428633213043
241,5.5376,0,novel,-9.145,-0.7619251012802124,0.47417694330215454
242,8.0878,1,analog,-9.966,-0.882187008857727,0.9929293394088745
243,5.1062,0,analog,-8.86,-0.1344677209854126,0.7699316740036011
244,6.7399,1,analog,-8.492,-0.4557028114795685,0.8373845815658569
245,7.2518,1,analog,-9.534,-0.517815351486206,0.757662296295166
246,9.0969,1,analog,-8.67,-0.652055561542511,0.9521247744560242
247,7.8239,1,analog,,-0.15522673726081848,0.7933581471443176
248,7.3665,1,analog,,-0.36956173181533813,0.7817577123641968
249,7.8539,1,analog,-8.749,0.4505530595779419,0.898655891418457
250,7.4089,1,analog,-9.834,0.007958680391311646,0.8248182535171509
251,6.7825,1,analog,-8.957,-0.4875355362892151,0.9656338691711426
252,8.4949,1,analog,,-1.4775937795639038,0.8902667164802551
253,5.9208,0,analog,-8.91,0.979581356048584,0.8976908922195435
254,6.6819,1,analog,-9.168,0.4789420962333679,0.885668158531189
255,7.7352,1,analog,-8.672,1.8882923126220703,0.2855169475078583
256,6.3516,0,analog,-11.19,-0.3090215027332306,0.9017524719238281
257,7.1612,1,analog,-8.171,-0.10824594646692276,0.871742844581604
258,7.4437,1,analog,-9.992,-0.12024950981140137,0.9328944087028503
259,9.5229,1,analog,-9.292,1.3171677589416504,0.8493810296058655
260,7.5528,1,analog,-9.957,-0.018464654684066772,0.8746770620346069
261,7.3979,1,analog,-9.157,-0.5029653310775757,0.9518818855285645
262,5.8239,0,analog,-9.497,0.3558292090892792,0.6825113296508789
263,6.4855,0,analog,-9.858,-0.20877379179000854,0.8517255783081055
264,6.0132,0,analog,-9.533,-0.25347286462783813,0.7551298141479492
265,5.6904,0,analog,-9.8,0.588873028755188,0.6880381107330322
266,5.8861,0,analog,-9.201,3.2648444175720215e-05,0.803888201713562
267,5.2676,0,analog,-8.907,0.9428073763847351,0.8689873218536377
268,7.1871,1,analog,-8.784,-0.8572807908058167,0.9758099913597107
269,6.3372,0,analog,-7.894,1.3754372596740723,0.4777088165283203
270,5.6576,0,analog,-8.89,-0.33866408467292786,0.8378492593765259
271,5.4685,0,analog,-8.605,0.22829487919807434,0.8129591941833496
272,6.4815,0,analog,-8.998,-1.0601856708526611,0.8459221124649048
273,5.7077,0,analog,-9.075,0.6741647720336914,0.5818312764167786
274,5.3979,0,analog,-9.111,0.49709513783454895,0.5760179758071899
275,5.4202,0,novel,-10.74,-0.4180576801300049,0.865952730178833
276,5.5229,0,analog,-10.2,0.07635565102100372,0.6902891397476196
277,6.9208,1,analog,-8.807,-0.5755234956741333,0.8751500844955444
278,6.1675,0,analog,-9.947,-0.7387003302574158,0.8863131403923035
