chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,ppb_percent,fu,clearance_mL_min_kg,clearance_class,vd_L_kg,half_life_h,half_life_class,bioavailability_percent,bioavailability_class,est_dose_mg,dosing_frequency,pk_score
CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,2.03,0.0,0.363,3.22,97.3,,database,88.9,79.8,97.3,88.9,70,75.3,86.7,56,88.4,0.1164,84.7,high,2.16,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL5220647,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@@H]2CO)n1,EZH2,resistant,scout1,4.6,0.0,0.437,3.64,100.0,,database,77.1,99.5,100.0,77.1,70,70.7,86.6,57,60.4,0.3957,25.9,high,0.55,0.5,short,10.0,low,1.0,TID (three times daily),40
CHEMBL313153,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout1,1.7,0.0,0.5,2.82,90.0,,database,91.4,79.9,90.0,91.4,70,79.8,86.6,58,97.1,0.0292,100.0,high,12.86,1.5,short,9.0,low,5.0,TID (three times daily),40
CHEMBL155514,CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,other,scout1,0.1778,0.0,0.533,3.91,100.0,,database,100.0,100.0,100.0,30.0,70,67.7,86.4,59,82.7,0.1727,5.3,moderate,2.55,5.6,moderate,73.5,high,0.0,TID (three times daily),100
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CB,escape_route,scout1,3.0,0.0,0.567,2.67,100.0,,database,83.3,99.7,100.0,58.3,70,81.4,86.2,60,77.3,0.2273,89.6,high,1.04,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CB,escape_route,scout1,3.0,0.0,0.567,2.67,100.0,,database,83.3,99.7,100.0,58.3,70,81.4,86.2,61,77.3,0.2273,89.6,high,1.04,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL562999,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.45,0.0,0.526,2.72,90.5,,database,100.0,80.0,90.5,70.0,70,80.9,86.1,62,63.5,0.365,28.5,high,0.28,0.5,short,8.0,low,2.0,TID (three times daily),40
CHEMBL348326,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,sensitive,scout1,0.5,0.0,0.592,4.51,100.0,,database,100.0,100.0,100.0,30.0,70,61.0,86.0,63,39.3,0.607,12.2,moderate,0.12,0.5,short,39.1,moderate,0.0,TID (three times daily),65
CHEMBL550972,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.52,0.0,0.393,2.61,87.9,,database,100.0,80.0,87.9,70.0,70,82.1,85.7,64,84.3,0.1569,93.8,high,1.16,0.5,short,8.0,low,6.0,TID (three times daily),40
CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.38,0.0,0.393,2.72,87.9,,database,100.0,80.0,87.9,70.0,70,80.9,85.6,65,73.2,0.2678,60.2,high,0.49,0.5,short,8.0,low,4.0,TID (three times daily),40
