chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw_scout,logp_scout,lipinski_violations_scout,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r,mw_admet,logp_admet,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,qed,sa_score,lipinski_violations_admet,veber_pass,pains_pass,pains_alerts,bbb_penetrant,gi_absorption,hepatotox_risk,admet_score,overall_pass
CHEMBL368313,CHEMBL368313,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CNCCCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,1.15,596.68,3.96,1,False,False,1,CD274,immune,0.004924,0.004924,596.7,3.96,4,6,146.6,15,4,0.152,3.41,1,False,True,0,False,medium,medium,68.0,True
CHEMBL383264,CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,IC50,1.3,394.48,4.73,0,False,False,2,AKT1;MAPK1,escape_route,0.003886,0.005829,394.5,4.73,2,4,76.8,6,5,0.437,2.88,0,True,True,0,False,high,low,100.0,True
CHEMBL372543,CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,Kd,1.3,366.42,4.93,0,False,False,1,BRAF,escape_route,0.003886,0.005829,366.4,4.93,2,4,74.2,3,4,0.399,2.53,0,True,True,0,False,high,low,100.0,True
CHEMBL551442,CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,IC50,1.4,436.52,2.01,0,False,False,1,MTOR,escape_route,0.003854,0.005781,436.5,2.01,3,7,109.2,4,3,0.574,2.67,0,True,True,0,False,high,low,100.0,True
CHEMBL304500,CHEMBL304500,COC(=O)c1c2c(n(C)c1C)C(=O)C=C1N(C(=O)c3cc4cc(OC)c(OC)c(OC)c4[nH]3)C[C@H]3C[C@]123,MAP2K1,IC50,1.4,505.53,3.12,1,False,False,1,MAP2K1,sensitive,0.009635,0.001445,505.5,3.12,1,7,112.1,5,3,0.53,4.48,1,True,True,0,False,high,medium,90.6,True
CHEMBL411735,CHEMBL411735,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)OC)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,MTOR,IC50,1.45,1021.34,0.0,1,False,False,1,MTOR,escape_route,0.003839,0.005758,1021.3,8.16,3,13,204.3,15,1,0.086,7.34,3,False,True,0,False,low,medium,25.0,False
CHEMBL3924247,CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,IC50,1.46,433.51,2.85,0,False,False,1,ATM,resistant,0.001918,0.009589,433.5,2.85,0,6,74.4,7,4,0.417,2.84,0,True,True,0,True,high,low,100.0,True
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1,escape_route,0.003824,0.005736,466.5,4.35,2,4,69.5,2,5,0.406,4.95,0,True,True,0,False,high,medium,98.1,True
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1,escape_route,0.003824,0.005736,466.5,4.35,2,4,69.5,2,5,0.406,4.95,0,True,True,0,False,high,medium,98.1,True
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1,escape_route,0.003824,0.005736,466.5,4.35,2,4,69.5,2,5,0.406,4.95,0,True,True,0,False,high,medium,98.1,True
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1,escape_route,0.003824,0.005736,466.5,4.35,2,4,69.5,2,5,0.406,4.95,0,True,True,0,False,high,medium,98.1,True
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1,escape_route,0.003824,0.005736,466.5,4.35,2,4,69.5,2,5,0.406,4.95,0,True,True,0,False,high,medium,98.1,True
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1,escape_route,0.003824,0.005736,466.5,4.35,2,4,69.5,2,5,0.406,4.95,0,True,True,0,False,high,medium,98.1,True
