gene,n_diseases,max_score
PTPN11,57,0.11723844534032957
CAMP,57,0.09588640142634064
PRKCA,57,0.1052386970508181
IL17RA,57,0.094229552889488
CD34,57,0.08223844104862289
NPPB,56,0.1833536872514098
SOCS3,56,0.09123976714844445
IL7R,56,0.09364410439046808
CDKN1A,56,0.08398804532590262
MMP1,56,0.5562220309288631
CXCL11,56,0.04192529248709371
HAVCR2,56,0.49968332914373803
JUND,56,0.0670745472142329
ATP4A,56,0.5616514303462384
JAK1,56,0.24092927408597573
PRTN3,56,0.06868110150523139
G6PD,56,0.4872534387316568
TP63,56,0.09633338732433185
SH2D1A,56,0.09023087264956962
PRKCB,56,0.08583795519441749
TICAM1,55,0.06822423670421378
GSR,55,0.06192630971757294
CD9,55,0.10222904644872861
PTH,55,0.07836036521055414
TMPRSS11D,55,0.10647486265972134
ASPM,55,0.10638686503552948
PYCARD,55,0.07524236070815063
APOA1,55,0.09506093766546238
EGF,55,0.0793396477868851
SELE,55,0.07970196824150717
IL1RN,55,0.07631952883756951
ISG15,55,0.11647987142125753
HGF,55,0.09872373214279428
HSP90AA1,55,0.09430412518357557
LACTB,55,0.03985731749823754
AR,55,0.3705799333493358
FMO5,55,0.08740726710143806
TLR5,55,0.050396519071036344
CXCL12,55,0.3679871598562566
VWF,55,0.09582542969155732
CD36,54,0.10098213385349576
IGF2BP2,54,0.0975236614720737
GCG,54,0.07265312830705638
ABCB1,54,0.07955128399910735
CD177,54,0.07240415691155312
GFAP,54,0.0526365651157318
DPP4,54,0.10251922756207939
AGT,54,0.06031283673717101
PPARA,54,0.3703959807783701
FCGR2B,54,0.07667738122777071
TBXT,54,0.08307608658885697
CLEC4D,54,0.061796007757369785
POMC,54,0.10712996491094501
KHDRBS1,54,0.09927060458429232
CD80,53,0.0940913179860887
WEE1,53,0.03795931699971629
BDNF,53,0.08724727099691154
NCAM1,53,0.41489615403187036
BECN1,53,0.09625974000380197
BCR,53,0.07688180355406156
RIPK3,53,0.3812097526550361
RPS27A,53,0.5753236847224324
SELP,53,0.27672883197483095
CD1D,53,0.09785714021829633
HLA-G,53,0.08468614837528615
CTNND1,53,0.05090344362216034
GTF2H1,53,0.5977635471259612
CD27,53,0.1043008716962556
KIT,53,0.2656778513357651
UBC,53,0.5752603693513382
CR2,53,0.38629038100426205
NUP62,53,0.5455451775785218
DEFB4A,53,0.08772665735023512
HLA-A,53,0.5305135922848343
RBP4,53,0.09116305256329271
APP,52,0.09031825706141833
DEFB4B,52,0.08770166152174903
DCTN4,52,0.09751254858983481
HSP90AB1,52,0.0591782932047342
AICDA,52,0.08991711694693717
PTEN,52,0.0769587293917372
NOS1,52,0.2927984721748168
IL4R,52,0.4576548329306724
UBA52,52,0.5752603693513382
UBB,52,0.5752603693513382
MMP8,52,0.5558336667296258
PRL,52,0.067400180495216
ARG1,52,0.10521972240026549
MYC,52,0.22196130817283555
TNFAIP3,52,0.10199764285278867
THBS1,52,0.09860485232430656
HPGDS,51,0.04916399245492062
ASPA,51,0.10640830421673905
BCAR1,51,0.04902275688200308
TREM1,51,0.11177278716774114
CYGB,51,0.07173594375261601
GGTLC3,51,0.05377015816671962
NT5E,51,0.17025724185053687
CAD,51,0.0691473352149118
GGTLC4P,51,0.05377015816671962
RIPK1,51,0.3812160029037836
GGT1,51,0.053812730251759915
PPBP,51,0.0709267785848626
BRD2,51,0.039519991029849946
PRKN,51,0.25225756939681304
ANXA5,51,0.07747694129328415
CDH1,51,0.1100263283603619
GGTLC5P,51,0.05377015816671962
LTB,51,0.0771589090147995
APC,50,0.21013101917332386
ABCG2,50,0.03418640866779725
KIR3DL1,50,0.09927057229491759
ICOS,50,0.47424425808970844
GSDMD,50,0.11087080482880259
STAT6,50,0.7315532547572903
LAMC2,50,0.37129104060580687
SETD2,50,0.1076875622685339
ZNF185,50,0.0670056128044418
LGALS1,50,0.11087298107345896
BCHE,50,0.3227519293865785
MBP,50,0.2572223719176822
GAPDH,50,0.10592176037702349
TNFRSF9,50,0.05768898837344399
VIPR1,49,0.04395233266632963
A1CF,49,0.10638498669009142
FCGR1A,49,0.37841381076155006
LAP3,49,0.0634485674709261
SRC,49,0.2912170038806694
HPD,49,0.08050145574408997
LAT,49,0.07998930670300672
KLRK1,49,0.0677530123777731
PRKCG,49,0.08582149314624815
RAG1,49,0.08681105009924235
IL16,49,0.09297062733847347
CAV1,49,0.06357658069975769
CALM1,49,0.5050390060995728
NOS3,49,0.09446396690810115
STS,49,0.07538718596328252
PTPN6,49,0.06378362526597653
ASIP,49,0.10638498669009142
BTG3,49,0.0872324945368748
ROPN1L,49,0.10638498669009142
JAK2,49,0.38775854910382995
PARP1,49,0.08305023778391583
SMN1,49,0.11727653912027357
TTR,49,0.09387600434222755
TLR8,49,0.11870395343701058
RAG2,49,0.1001642241675937
CALM3,49,0.5050390060995728
ITGAL,49,0.06332500653905437
SUGP1,48,0.0834594110622009
WNK2,48,0.015539221324602405
MAP3K20,48,0.04796329250027128
CXCR1,48,0.2593874520997348
CX3CL1,48,0.10073329855656037
CCN6,48,0.08050145574408997
SYK,48,0.2685298316242316
GEM,48,0.09786089767010411
SIRT1,48,0.12250883188434576
CX3CR1,48,0.2153147308453093
CAMKMT,48,0.06303963169080627
CALM2,48,0.5050390060995728
MRC1,48,0.3725340214002005
PLAT,48,0.19090244082295807
CSE1L,48,0.05106314178004167
MAP1LC3A,48,0.09115790881345943
SMAD3,48,0.3167152044735059
ABO,48,0.449727516904415
KNG1,48,0.0743750040970709
CHP1,48,0.08949412028697619
PDC,48,0.07441687223782402
NCR1,48,0.07845108768076964
CFH,47,0.2853726178295179
ANGPT2,47,0.11648850804524719
HSP90B2P,47,0.07823970856645987
REN,47,0.0482169218248119
PGR,47,0.30006615887082166
ADAMTS13,47,0.08414016454987015
VSX1,47,0.08050145574408997
NPPA,47,0.07676670498239714
TMEM37,47,0.09645967175797361
KRIT1,47,0.06302721793636168
CPOX,47,0.05200743755887091
