smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CNC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,bioisostere,0.34,5.1,556.6,0.41,-12.21,0.494,0.432,0.741,10
C.NC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,bioisostere,0.335,5.1,558.6,0.41,-12.22,0.413,0.358,0.62,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccncc4)nc32)CC1.NC(=O)Nc1cccnc1,MTOR,bioisostere,0.379,5.1,560.6,0.41,-12.21,0.463,0.417,0.695,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccsc4)nc32)CC1.NC(=O)Nc1ccncc1,MTOR,bioisostere,0.379,5.0,565.7,0.41,-12.21,0.411,0.37,0.617,10
C.NS(=O)(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,bioisostere,0.303,5.2,594.7,0.41,-12.21,0.463,0.419,0.695,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4cc[nH]c4)nc32)CC1.NC(=O)Nc1cccnc1,MTOR,bioisostere,0.347,5.0,548.6,0.41,-12.22,0.452,0.389,0.677,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccncc4)nc32)CC1.NC(=O)Nc1ccncc1,MTOR,bioisostere,0.379,5.1,560.6,0.41,-12.22,0.468,0.418,0.701,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4cc[nH]c4)nc32)CC1.NC(=O)Nc1ccncc1,MTOR,bioisostere,0.347,5.0,548.6,0.41,-12.21,0.444,0.407,0.666,10
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OF)CC4)c3n2)cc1,MTOR,r_group,0.37,5.1,561.6,0.41,-12.21,0.45,0.408,0.675,10
N#COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,r_group,0.34,5.2,568.6,0.41,-12.22,0.524,0.418,0.787,10
C.CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(S(N)(=O)=O)CC4)c3n2)cc1,MTOR,bioisostere,0.424,4.8,545.7,0.41,-12.22,0.513,0.434,0.77,10
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC5CC5)CC4)c3n2)cc1,MTOR,r_group,0.34,5.4,583.7,0.41,-12.21,0.426,0.39,0.639,10
C.CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(N)=O)CC4)c3n2)cc1,MTOR,bioisostere,0.48,4.6,509.6,0.42,-12.2,0.425,0.38,0.638,10
CNC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,bioisostere,0.34,5.1,556.6,0.42,-12.21,0.453,0.402,0.679,10
CNC(=O)Nc1ccoc1.c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)ncnc43)CC2)c1,MTOR,bioisostere,0.409,4.8,519.6,0.42,-12.2,0.405,0.344,0.608,10
NOC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,r_group,0.31,5.1,558.6,0.42,-12.2,0.445,0.402,0.667,10
C.NS(=O)(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,bioisostere,0.303,5.2,594.7,0.42,-12.2,0.441,0.356,0.662,10
CCNC(=O)Nc1ccc(-c2nc(N(C)CCNC)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,bioisostere,0.423,4.6,509.6,0.43,-12.18,0.377,0.316,0.565,10
CNC(=O)Nc1cc[nH]c1.c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)ncnc43)CC2)c1,MTOR,bioisostere,0.368,4.8,518.6,0.43,-12.19,0.384,0.318,0.575,10
CNC(=O)Nc1ccncc1.c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)ncnc43)CC2)c1,MTOR,bioisostere,0.4,4.9,530.6,0.44,-12.18,0.434,0.348,0.65,10
CNCCN(C)c1nc(-c2ccc(NC(=O)NC)cc2)nc2c1cnn2C1CCN(Cc2cccnc2)CC1,MTOR,bioisostere,0.304,4.9,528.7,0.44,-12.17,0.391,0.288,0.586,10
CNC(=O)Nc1ccsc1.c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)ncnc43)CC2)c1,MTOR,bioisostere,0.4,4.8,535.7,0.44,-12.18,0.382,0.328,0.573,10
CNC(=O)Nc1ccc(-c2nc(N3CCSCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,bioisostere,0.376,4.9,543.7,0.45,-12.17,0.484,0.339,0.726,10
CCOc1c(OC)c(OC)cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)OC)cc34)[nH]c12,MAP2K1,r_group,0.503,4.5,493.5,2.43,-11.16,0.634,0.311,0.951,10
COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC3CC3)c(OC)c(OC)c2[nH]1,MAP2K1,r_group,0.489,4.6,505.5,2.53,-11.14,0.559,0.295,0.839,10
CCOC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,r_group,0.503,4.5,493.5,2.54,-11.13,0.542,0.295,0.813,10
COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC3CC3)c(OC)c2[nH]1,MAP2K1,r_group,0.489,4.6,505.5,2.54,-11.13,0.585,0.302,0.878,10
