chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,herg_alerts,herg_risk,brenk_alerts,mutagenicity_risk,cyp_2d6_risk,cyp_3a4_risk,reactive_alerts,tox_score,offtarget_flags,n_offtarget_flags,selectivity_score,score_tox,score_selectivity_new,score_rebalanced,rank_new
,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cc[nH]c2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.46,441.9,0.553,3.9,70.0,0.503,bioisostere,81.2,99.7,70.0,81.2,100,67.8,83.8,88,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.6,65
,CNC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.38,472.0,0.513,4.0,70.0,0.553,r_group,81.5,99.7,70.0,81.5,100,66.7,83.9,83,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.6,66
,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccoc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.45,442.9,0.55,3.9,70.0,0.501,bioisostere,81.3,99.7,70.0,81.3,100,67.8,83.9,85,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.6,67
,CN(O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,resistant,scout2,5.84,282.3,0.641,2.6,70.0,0.645,r_group,73.7,99.4,70.0,73.7,100,82.2,81.1,154,0,low,0,low,low,low,0,100,[],0,100,100,100,85.5,68
CHEMBL87070,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout1,2.6,0.0,0.511,2.61,90.2,,database,85.3,79.8,90.2,85.3,70,82.1,84.0,80,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.5,69
,COOc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,scout2,5.7,299.3,0.504,2.8,70.0,0.675,r_group,74.1,99.4,70.0,74.1,100,80.0,81.2,142,0,low,0,low,low,low,0,100,[],0,100,100,100,85.5,70
,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1S,PARP1,resistant,scout2,5.83,299.4,0.65,2.6,70.0,0.607,bioisostere,73.7,99.4,70.0,73.7,100,82.2,81.1,149,0,low,0,low,low,low,0,100,[],0,100,100,100,85.5,71
,NC(=O)c1cccc2[nH]c(-c3ccc(OF)c(O)c3)nc12,PARP1,resistant,scout2,5.81,287.2,0.688,2.6,70.0,0.656,r_group,73.8,99.4,70.0,73.8,100,82.2,81.2,148,0,low,0,low,low,low,0,100,[],0,100,100,100,85.5,72
CHEMBL133855,CCOC(=O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,resistant,scout1,8.1,0.0,0.723,2.0,100.0,,database,69.0,99.2,100.0,69.0,70,88.9,83.8,87,0,low,0,low,low,low,0,100,[],0,100,100,100,85.4,73
,N#COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,scout2,5.79,294.3,0.636,2.8,70.0,0.647,r_group,73.8,99.4,70.0,73.8,100,80.0,81.1,153,0,low,0,low,low,low,0,100,[],0,100,100,100,85.4,74
