gene,patient
KCNB1,1.4
CCDC191,1.4
CCDC3,1.4
TBC1D32,1.4
ZBTB21,1.4
KPRP,1.4
VIRMA,1.4
FOXA2,1.4
FLT1,1.4
FLT4,1.4
FNDC3B,1.4
ZBTB16,1.4
TOPAZ1,1.4
KIAA1217,1.4
KLHL29,1.4
TASOR,1.4
TASOR2,1.4
KIRREL1,1.4
KIF18A,1.4
KIF1A,1.4
KCTD19,1.4
TP53BP2,1.4
KRT71,1.4
KRT72,1.4
SYTL2,1.4
VPS11,1.4
LAMC1,1.4
KCNC2,1.4
FTCD,1.4
CREBBP,1.4
CREB5,1.4
FSTL5,1.4
TOX,1.4
FILIP1L,1.4
KSR1,1.4
CD93,1.4
KCNN3,1.4
KRT74,1.4
KCNT1,1.4
FAM47A,1.4
COL4A3,1.4
MCM5,1.4
CUL7,1.4
GIGYF1,1.4
MAPK7,1.4
MAPK4,1.4
IPO11,1.4
TNC,1.4
STARD9,1.4
TNFAIP3,1.4
MAP3K13,1.4
CUX2,1.4
CADPS,1.4
STAT5B,1.4
ESPNL,1.4
MAP1B,1.4
CUL3,1.4
MAP1A,1.4
CEMIP,1.4
CNGA3,1.4
TECPR2,1.4
TRIM67,1.4
IMPG2,1.4
WNT10B,1.4
GOLGA3,1.4
GLIS3,1.4
MBD6,1.4
EPB41L3,1.4
EPB41L4B,1.4
ILF3,1.4
MAST1,1.4
CACNA1G,1.4
CYP11B2,1.4
CEP120,1.4
INPPL1,1.4
STAG3,1.4
ERBIN,1.4
ERCC5,1.4
KIF26A,1.4
VPS53,1.4
TRPV3,1.4
GEMIN5,1.4
CDK5RAP2,1.4
LTBP3,1.4
LTBP1,1.4
TRPM4,1.4
CTNNA3,1.4
ITGB5,1.4
ITIH5,1.4
STRIP2,1.4
TCHHL1,1.4
STIL,1.4
LRRC41,1.4
ITPKB,1.4
CARMIL2,1.4
TRIP12,1.4
COL27A1,1.4
TRIM72,1.4
CDK13,1.4
CAPN1,1.4
GALNT17,1.4
TNRC6B,1.4
LZTR1,1.4
CNTN2,1.4
TDRD6,1.4
MAGEE2,1.4
CNTNAP1,1.4
WRN,1.4
USP44,1.4
GAS6,1.4
ISLR2,1.4
WWC3,1.4
TRPM5,1.4
MAEL,1.4
MADD,1.4
CAMSAP1,1.4
TNRC6A,1.4
ITGA4,1.4
CRMP1,1.4
CAD,1.4
NPAP1,1.4
PRDM9,1.4
ADARB2,1.4
PAX7,1.4
OR4D10,1.4
ANKFY1,1.4
ZNF675,1.4
NOX3,1.4
NOVA1,1.4
PAK5,1.4
AUTS2,1.4
QRICH2,1.4
PKD2L1,1.4
POLR1F,1.4
ARFGEF2,1.4
ARFGEF1,1.4
PAX6,1.4
NPC1L1,1.4
ATR,1.4
ARHGAP18,1.4
ATP8B3,1.4
ARHGAP21,1.4
ACAN,1.4
ARHGAP25,1.4
ADAMTS8,1.4
SLC26A1,1.4
ARHGAP31,1.4
SEC31A,1.4
PRICKLE2,1.4
PAPPA,1.4
ACAP3,1.4
PALD1,1.4
PALB2,1.4
PIWIL1,1.4
PCDH9,1.4
PRDM2,1.4
ADGRD1,1.4
AGBL4,1.4
PPP4R3B,1.4
AKAP9,1.4
ZNF34,1.4
ROBO4,1.4
ABCG4,1.4
PTPRJ,1.4
PCDHGB2,1.4
PCDHB8,1.4
PCDHB7,1.4
PPP6R3,1.4
SH2B2,1.4
NLRC3,1.4
PCDHB2,1.4
ADGRA1,1.4
SARDH,1.4
NLRP11,1.4
PRR35,1.4
SHROOM3,1.4
ADD2,1.4
PCDHAC2,1.4
NLRP4,1.4
NLRP7,1.4
PCDHA8,1.4
SEMA3C,1.4
PCDHA6,1.4
PCDHA5,1.4
PCDHA3,1.4
PIK3R2,1.4
PCDHA11,1.4
PLA2G4A,1.4
ARHGEF12,1.4
ANKRD30A,1.4
SLF2,1.4
OPLAH,1.4
PRMT1,1.4
AHDC1,1.4
SH3PXD2B,1.4
RASAL1,1.4
RELCH,1.4
PLEKHG1,1.4
PADI1,1.4
PRPF40A,1.4
ASTN1,1.4
ASTN2,1.4
OGDHL,1.4
PLEKHA7,1.4
SIN3A,1.4
SLC39A6,1.4
PLEKHG4B,1.4
SIN3B,1.4
OR5AK2,1.4
SCN2A,1.4
RB1CC1,1.4
ARSB,1.4
RBFOX1,1.4
OR10X1,1.4
PRPF38B,1.4
SLC6A3,1.4
PLK1,1.4
OR2T2,1.4
SLC4A4,1.4
SCNN1G,1.4
SLC5A5,1.4
OR4Q3,1.4
ATAD2B,1.4
OGDH,1.4
PRPF40B,1.4
PNPLA5,1.4
SMCHD1,1.4
ATP2A3,1.4
NSUN2,1.4
SMC1B,1.4
ARHGEF40,1.4
RGS3,1.4
ATP13A5,1.4
P3H1,1.4
ARID2,1.4
ACIN1,1.4
SMARCA2,1.4
ATP11B,1.4
OVCH1,1.4
PNPLA6,1.4
SFSWAP,1.4
PLXND1,1.4
PRPF8,1.4
OTOP1,1.4
