chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets
CHEMBL4240141,CHEMBL4240141,CN1CCN(S(=O)(=O)c2ccc(N3CCC=N3)cc2)c2ccccc21,MDM2,EC50,74.0,356.45,2.53,0,False,False,1,MDM2
CHEMBL4848035,CHEMBL4848035,Cc1c(Cc2cccs2)c(-c2cc(Cl)nc(N)n2)nn1C,EZH2,IC50,74.0,319.82,3.07,0,False,False,1,EZH2
CHEMBL200847,CHEMBL200847,COC(=O)CCc1c(C)[nH]c(/C=C2\C(=O)Nc3cc(-c4ccc(O)c(OC)c4)ccc32)c1C,CHEK1,IC50,75.0,446.5,4.61,0,False,False,1,CHEK1
CHEMBL543394,CHEMBL543394,Cl.Oc1nc2ccc(N3CCC(N4CCCC4)CC3)nc2c2ccccc12,PARP1,IC50,75.0,384.91,3.55,0,False,False,1,PARP1
CHEMBL146794,CHEMBL146794,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,AR,IC50,77.0,534.49,3.16,1,False,False,1,AR
CHEMBL173116,CHEMBL173116,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CN[C@@H](Cc1ccccc1)C(N)=O)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,78.0,625.68,2.42,1,False,False,1,CD274
CHEMBL3215760,CHEMBL3215760,Cl.Cl.c1cc(OCCN2CCSCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CA,IC50,79.0,550.51,3.7,1,False,False,1,PIK3CA
CHEMBL381703,CHEMBL381703,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)CC1CNc2ccccc21,AKT1,IC50,79.0,405.93,4.64,0,False,False,1,AKT1
CHEMBL2436173,CHEMBL2436173,CC(=O)c1ccc2c(c1)c1c3c(ccc1n2CC[C@H]1CCCN1C)C(=O)CC3,MDM2,EC50,80.0,374.48,4.61,0,False,False,1,MDM2
CHEMBL428690,CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CDK6,IC50,80.0,0.0,0.0,0,False,False,1,CDK6
CHEMBL421605,CHEMBL421605,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc(Br)cc1,PARP1,IC50,80.0,434.29,1.57,0,False,False,1,PARP1
CHEMBL172921,CHEMBL172921,CCCC(=O)NCC(=O)C(CC(=O)O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,81.0,548.6,2.65,1,False,False,1,CD274
CHEMBL2113247,CHEMBL2113247,C[C@@H]1CNc2cc3nc(O)cc(C(F)(F)F)c3cc2[C@@H]1CCC(F)(F)F,AR,EC50,82.0,378.32,5.45,1,False,False,1,AR
CHEMBL204217,CHEMBL204217,CCc1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,AURKA,IC50,85.0,543.63,4.09,1,False,False,1,AURKA
