chembl_id,name,smiles,target_gene,population_target,source,activity_nM,mw,logp,qed,sa_score,admet_score,est_emax_s,est_emax_r,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,rank
CHEMBL3907190,CHEMBL3907190,CN(C)CCCOc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCOCC5)c4c3c2)cn1,ATM,resistant,scout1,3.22,0.0,0.0,0.436,2.77,98.7,0.001746,0.00873,database_search,69.8,79.7,98.7,87.3,80,80.3,81.7,72
CHEMBL558288,CHEMBL558288,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)NC)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.0,0.0,0.0,0.507,2.75,100.0,0.003699,0.005548,database_search,61.6,99.8,100.0,66.6,80,80.6,81.5,73
CHEMBL562365,CHEMBL562365,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(C)=O)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.1,0.0,0.0,0.591,2.66,100.0,0.003678,0.005517,database_search,61.3,99.8,100.0,66.2,80,81.6,81.3,74
CHEMBL107764,CHEMBL107764,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,PARP1,resistant,scout1,12.0,0.0,0.0,0.531,2.71,100.0,0.00146,0.007302,database_search,58.4,98.8,100.0,73.0,80,81.0,81.2,75
CHEMBL108919,CHEMBL108919,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,PARP1,resistant,scout1,12.0,0.0,0.0,0.627,2.7,100.0,0.00146,0.007302,database_search,58.4,98.8,100.0,73.0,80,81.1,81.2,76
CHEMBL5220723,CHEMBL5220723,Cn1cc(Cc2ccccc2OCCN2CCOCC2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,scout1,12.3,0.0,0.0,0.578,2.74,100.0,0.001455,0.007275,database_search,58.2,98.8,100.0,72.8,80,80.7,81.1,77
CHEMBL5218698,CHEMBL5218698,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOCC2)n1,EZH2,resistant,scout1,3.9,0.0,0.0,0.511,2.97,100.0,0.001704,0.008522,database_search,68.2,79.7,100.0,85.2,80,78.1,81.1,78
CHEMBL87070,CHEMBL87070,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout1,2.6,0.0,0.0,0.511,2.61,90.2,0.001793,0.008963,database_search,71.7,79.8,90.2,89.6,80,82.1,81.1,79
CHEMBL207778,CHEMBL207778,COc1cc(CN2CCCC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,scout1,13.0,0.0,0.0,0.857,2.32,100.0,0.001443,0.007215,database_search,57.7,98.7,100.0,72.2,80,85.3,81.1,80
CHEMBL541643,CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.0,0.769,2.44,100.0,0.003602,0.005403,database_search,60.0,99.8,100.0,64.8,80,84.0,80.9,81
CHEMBL541643,CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.0,0.769,2.44,100.0,0.003602,0.005403,database_search,60.0,99.8,100.0,64.8,80,84.0,80.9,82
CHEMBL5218702,CHEMBL5218702,CC1(O)CCN(CCOc2ccccc2Cc2cn(C(F)F)nc2-c2cc(Cl)nc(N)n2)CC1,EZH2,resistant,scout1,4.0,0.0,0.0,0.461,3.18,99.2,0.001699,0.008495,database_search,68.0,79.7,99.2,85.0,80,75.8,80.7,83
CHEMBL558955,CHEMBL558955,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.08,0.0,0.0,0.306,2.78,71.1,0.005,0.0075,database_search,83.3,80.0,71.1,90.0,80,80.2,80.7,84
CHEMBL222102,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,ATM,resistant,scout1,13.0,0.0,0.0,0.488,2.93,100.0,0.001443,0.007215,database_search,57.7,98.7,100.0,72.2,80,78.6,80.7,85
CHEMBL402548,CHEMBL402548,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,AURKA,resistant,scout1,13.0,0.0,0.0,0.571,3.02,100.0,0.001443,0.007215,database_search,57.7,98.7,100.0,72.2,80,77.6,80.7,86
