smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CN(C)CCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.503,2.2,336.2,5.14,-10.72,0.574,0.333,0.861,10
FC(F)(F)c1cc(Cl)nc2cc3c(cc12)[C@H]1CCCC[C@@H]1CN3,AR,r_group,0.631,2.9,340.8,5.14,-10.72,0.582,0.382,0.873,10
CC(=O)O[C@]1(C(=O)C(C)C)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.589,3.8,414.6,5.15,-10.71,0.582,0.311,0.873,10
CCCCCC[Se](=O)(=O)CC(=O)C(C)(F)F,FOLH1,bioisostere,0.511,2.0,303.2,5.15,-10.71,0.479,0.298,0.719,10
CCCCCCNCC(=O)C(Cl)(Cl)Cl,FOLH1,bioisostere,0.563,1.8,260.6,5.15,-10.72,0.536,0.319,0.804,10
CC(F)(F)c1cc(O)nc2cc3c(cc12)[C@H]1CCCC[C@H]1CN3,AR,bioisostere,0.797,2.9,318.4,5.15,-10.72,0.611,0.412,0.916,10
Cc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@@H]1CCCC[C@H]31,AR,r_group,0.716,2.9,320.4,5.16,-10.71,0.576,0.39,0.863,10
FC(F)(F)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.575,3.2,374.3,5.17,-10.71,0.577,0.383,0.865,10
NS(=O)(=O)CCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.502,2.4,372.2,5.18,-10.71,0.462,0.3,0.693,10
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C(C)C)[C@H]3CC[C@@]21C,AR,r_group,0.589,3.8,414.6,5.19,-10.71,0.54,0.304,0.811,10
FC(F)(F)c1cc(C2CC2)nc2cc3c(cc12)[C@H]1CCCC[C@H]1CN3,AR,r_group,0.703,3.1,346.4,5.19,-10.71,0.534,0.363,0.8,10
CN(C)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.784,3.1,349.4,5.2,-10.71,0.53,0.356,0.795,10
CC(=O)[C@@]1(OC(=O)C2CC2)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.609,3.8,412.6,5.21,-10.71,0.55,0.299,0.825,10
N#CCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.534,2.1,318.2,5.21,-10.71,0.429,0.286,0.643,10
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C4CC4)[C@H]3CC[C@@]21C,AR,r_group,0.609,3.8,412.6,5.22,-10.71,0.587,0.321,0.88,10
CCN=C1CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,r_group,0.505,3.6,378.5,5.23,-10.71,0.451,0.346,0.677,10
CCC(=O)[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.622,3.6,400.6,5.26,-10.7,0.564,0.318,0.847,10
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@@H](C4CC4)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.609,3.8,412.6,5.27,-10.7,0.551,0.318,0.827,10
Nc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@@H]1CCCC[C@H]31,AR,r_group,0.749,2.9,321.3,5.27,-10.7,0.545,0.382,0.817,10
CC[C@]12CC[C@H]3[C@@H](C[C@H](C)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(OC(C)=O)C(C)=O,AR,r_group,0.622,3.6,400.6,5.28,-10.7,0.569,0.32,0.853,10
