mutation,drug,n_mut,n_wt,mut_median,wt_median,diff,pval,direction,rank,bh_threshold,fdr_significant,bh_rank
NPM1,Lenvatinib,110,283,152.3,178.5,26.2,7.150125187133042e-06,sensitive,43,0.002005597014925373,True,43
DNMT3A,Lenvatinib,88,305,144.3,173.9,29.6,7.542214973264201e-06,sensitive,44,0.0020522388059701496,True,44
NPM1,Vargetef,131,402,156.4,187.6,31.2,1.0089716096393344e-05,sensitive,45,0.0020988805970149254,True,45
NRAS,Vargetef,85,448,206.8,171.9,-35.0,1.2279034217646508e-05,resistant,46,0.0021455223880597015,True,46
NRAS,Dovitinib (CHIR-258),90,447,178.5,148.0,-30.5,1.7775259957457702e-05,resistant,47,0.0021921641791044777,True,47
NRAS,Quizartinib (AC220),94,462,169.6,145.7,-23.9,1.8231639134060535e-05,resistant,48,0.002238805970149254,True,48
NPM1,Pelitinib (EKB-569),129,405,140.8,162.3,21.5,1.8584712795998763e-05,sensitive,49,0.00228544776119403,True,49
NRAS,PD173955,90,443,222.7,187.8,-34.9,2.596773559956378e-05,resistant,50,0.0023320895522388058,True,50
NPM1,MK-2206,130,396,230.8,201.7,-29.2,2.6915392025690124e-05,resistant,51,0.0023787313432835824,True,51
DNMT3A,Foretinib (XL880),111,425,93.9,122.1,28.2,4.9216855123276386e-05,sensitive,52,0.002425373134328358,True,52
TP53,Regorafenib (BAY 73-4506),46,484,202.2,182.3,-19.9,4.9992752141838265e-05,resistant,53,0.0024720149253731347,True,53
NPM1,Palbociclib,100,238,218.9,241.9,23.0,5.172015169989808e-05,sensitive,54,0.0025186567164179104,True,54
NPM1,SU11274,114,360,206.7,220.9,14.2,6.349640672735667e-05,sensitive,55,0.0025652985074626866,True,55
DNMT3A,Cabozantinib,108,422,149.3,178.1,28.8,7.432704015991266e-05,sensitive,56,0.0026119402985074628,True,56
NRAS,NF-kB Activation Inhibitor,86,434,233.9,200.9,-33.1,7.606703722910688e-05,resistant,57,0.002658582089552239,True,57
NRAS,Gefitinib,91,468,249.0,235.7,-13.3,0.000107042599607,resistant,58,0.002705223880597015,True,58
TP53,Sorafenib,51,547,216.1,193.5,-22.6,0.0001133889335369,resistant,59,0.0027518656716417913,True,59
TP53,Cytarabine,33,342,224.6,193.5,-31.1,0.0001247463727788,resistant,60,0.002798507462686567,True,60
NRAS,Elesclomol,89,416,22.1,37.3,15.2,0.0001248386210492,sensitive,61,0.0028451492537313436,True,61
NPM1,Bay 11-7085,109,284,250.8,263.4,12.5,0.0001270723717194,sensitive,62,0.0028917910447761193,True,62
IDH2,PHT-427,63,462,285.2,274.5,-10.6,0.0001385722709846,resistant,63,0.002938432835820896,True,63
NRAS,Lapatinib,88,463,238.6,226.2,-12.4,0.0001408167327562,resistant,64,0.0029850746268656717,True,64
DNMT3A,Dasatinib,125,473,141.9,180.6,38.7,0.0001430657672678,sensitive,65,0.003031716417910448,True,65
NPM1,NF-kB Activation Inhibitor,126,394,190.5,211.8,21.3,0.0001532144980026,sensitive,66,0.003078358208955224,True,66
IDH1,Tofacitinib (CP-690550),40,500,244.9,219.1,-25.7,0.0001587240611733,resistant,67,0.003125,True,67
NPM1,SNS-032 (BMS-387032),133,408,77.9,94.4,16.6,0.0001675174360997,sensitive,68,0.0031716417910447763,True,68
NRAS,Bay 11-7085,78,315,269.6,257.7,-11.9,0.0001736074832534,resistant,69,0.0032182835820895525,True,69
TP53,Crenolanib,50,481,242.4,215.9,-26.5,0.0002028348845623,resistant,70,0.0032649253731343282,True,70
NRAS,Midostaurin,94,456,225.5,199.8,-25.8,0.0002393224217155,resistant,71,0.003311567164179105,True,71
TP53,Dovitinib (CHIR-258),45,492,180.8,151.0,-29.8,0.0002443775399388,resistant,72,0.0033582089552238806,True,72
NRAS,Erlotinib,95,481,238.1,224.5,-13.7,0.000247712700902,resistant,73,0.003404850746268657,True,73
NRAS,Cabozantinib,89,441,194.4,167.6,-26.8,0.0002528777475902,resistant,74,0.003451492537313433,True,74
NPM1,Tivozanib (AV-951),134,393,153.7,176.4,22.6,0.0002622822125835,sensitive,75,0.003498134328358209,True,75
IDH2,Vargetef,65,468,154.9,184.6,29.7,0.0003109619310226,sensitive,76,0.0035447761194029852,True,76
DNMT3A,Gilteritinib,77,240,115.3,151.8,36.5,0.0003339143466084,sensitive,77,0.0035914179104477614,True,77
